gameID,name,yearPublished,primaryPublisher,primaryCategory,minPlayers,maxPlayers,playingTime,usersRated,averageRating,owned,numComments,averageWeight
102794,Caverna: The Cave Farmers,2013,Lookout Games,Animals,1,7,210,29797,8.00149,37795,4813,3.791
244521,The Quacks of Quedlinburg,2018,Schmidt Spiele,Medieval,2,4,45,29683,7.84596,45597,4069,1.9544
96848,Mage Knight Board Game,2011,WizKids,Adventure,1,4,240,29417,8.09905,41236,5857,4.3281
199792,Everdell,2018,Starling Games (II),Animals,1,4,80,29041,8.09578,44349,4151,2.8159
39463,Cosmic Encounter,2008,Fantasy Flight Games,Bluffing,3,5,120,28836,7.53737,35836,5851,2.576
128882,The Resistance: Avalon,2012,Indie Boards & Cards,Bluffing,5,10,30,28818,7.56401,41014,4287,1.7638
205059,Mansions of Madness: Second Edition,2016,Fantasy Flight Games,Adventure,1,5,180,28536,8.02361,44483,3898,2.673
143884,Machi Koro,2012,Grounding,City Building,2,4,30,28415,6.62384,45010,4943,1.5288
320,Scrabble,1948,(Unknown),Word Game,2,4,90,28248,6.27385,51494,6316,2.0864
132531,Roll for the Galaxy,2014,Rio Grande Games,Civilization,2,5,45,28229,7.64788,34289,4292,2.7732
35677,Le Havre,2008,Lookout Games,City Building,1,5,150,27996,7.86711,32167,5483,3.7352
3955,BANG!,2002,dV Giochi,American West,4,7,40,27833,6.50794,34385,5987,1.6329
124742,Android: Netrunner,2012,Fantasy Flight Games,Bluffing,2,2,45,27695,7.8759,42665,5721,3.3938
9220,Saboteur,2004,AMIGO,Bluffing,3,10,30,27580,6.56369,44945,4899,1.3251
18602,Caylus,2005,Ystari Games,City Building,2,5,150,27494,7.7513,27326,6205,3.8019
136063,Forbidden Desert,2013,Gamewright,Adventure,2,5,45,27201,7.12333,46836,4532,2.0486
148949,Istanbul,2014,Pegasus Spiele,Economic,2,5,60,27086,7.56871,32271,3985,2.5852
72125,Eclipse,2011,Lautapelit.fi,Civilization,2,6,180,26851,7.87699,27016,4872,3.6996
158899,Colt Express,2014,Ludonaute,American West,2,6,40,26861,7.11106,37698,4053,1.822
10630,Memoir '44,2004,Days of Wonder,Miniatures,2,8,60,26847,7.55837,35884,6674,2.2724
42,Tigris & Euphrates,1997,Hans im Glück,Ancient,2,4,90,26160,7.69636,29340,6657,3.506
15062,Shadows over Camelot,2005,Days of Wonder,Adventure,3,7,80,26091,7.11218,32186,6028,2.5664
192291,Sushi Go Party!,2016,Gamewright,Card Game,2,8,20,25871,7.44587,46269,3608,1.3124
172,For Sale,1997,2 Pionki,Card Game,3,6,30,25692,7.22751,30979,6121,1.2595
182028,Through the Ages: A New Story of Civilization,2015,Czech Games Edition,Card Game,2,4,120,25615,8.38379,30070,3798,4.4131
187645,Star Wars: Rebellion,2016,Fantasy Flight Games,Civil War,2,4,240,25603,8.42463,39321,3937,3.7289
224517,Brass: Birmingham,2018,Roxley,Economic,2,4,120,25515,8.66343,38126,3824,3.8988
146508,T.I.M.E Stories,2015,Space Cowboys,Adventure,2,4,90,25079,7.50078,37124,3850,2.5956
284083,The Crew: The Quest for Planet Nine,2019,KOSMOS,Card Game,2,5,20,25012,7.96895,50500,3342,1.9899
172225,Exploding Kittens,2015,Ad Magic Inc.,Animals,2,5,15,24803,6.04318,51347,4034,1.0802
122522,Smash Up,2012,Alderac Entertainment Group,Card Game,2,4,45,24780,6.73432,40843,4184,2.0637
16992,Tsuro,2004,Calliope Games,Abstract Strategy,2,8,20,24647,6.6708,35406,4986,1.234
50381,Cards Against Humanity,2009,Cards Against Humanity LLC,Card Game,4,30,30,24643,5.86165,42450,4836,1.1923
164928,Orléans,2014,dlp games,Medieval,2,4,90,24610,8.07449,30344,3691,3.0398
93,El Grande,1995,Hans im Glück,Medieval,2,5,120,24485,7.74964,23510,5357,3.051
2453,Blokus,2000,Educational Insights,Abstract Strategy,2,4,20,24059,6.87492,32851,5254,1.7617
153938,Camel Up,2014,eggertspiele,Animals,2,8,30,24006,7.03999,30484,3743,1.4751
103885,Star Wars: X-Wing Miniatures Game,2012,Fantasy Flight Games,Aviation / Flight,2,2,45,23718,7.67086,38904,3920,2.4889
104162,Descent: Journeys in the Dark (Second Edition),2012,Fantasy Flight Games,Adventure,1,5,120,23640,7.66731,37103,3950,3.2072
147949,One Night Ultimate Werewolf,2014,Bézier Games,Bluffing,3,10,10,23184,7.11791,40501,3849,1.3866
2223,UNO,1971,(Unknown),Number,2,10,30,23150,5.41271,43200,4472,1.1145
155426,Castles of Mad King Ludwig,2014,Bézier Games,City Building,1,4,90,23136,7.54253,29264,3906,2.6536
